filename,original score,file length,pad length,loss,predict score
cmdl32.exe,0.992939,47104,4710,,
cmmon32.exe,0.8498127,36864,3686,,
cmstp.exe,0.052232075,82944,0,,
cofire.exe,0.8642146,23552,2355,,
colorcpl.exe,0.9942672,86528,0,,
comp.exe,0.0010660782,23552,2355,0.0010660771513357759,0.0010660781990736723
compact.exe,0.16929904,40960,4096,0.16929922997951508,0.16929903626441956
CompatTelRunner.exe,0.00053010846,144696,0,,
CompMgmtLauncher.exe,0.9486832,90112,0,,
ComputerDefaults.exe,0.014175578,61440,6144,0.014175557531416416,0.014175578020513058
comrepl.exe,0.9976443,14848,1484,,
ComSvcConfig.exe,0.69977254,173672,0,,
ConfigSecurityPolicy.exe,0.0015770047,315296,0,,
conhost.exe,0.00021225457,625664,0,,
consent.exe,0.0012289259,157080,0,,
control.exe,0.85647,114688,0,,
convert.exe,0.12744701,19456,1945,0.9213452339172363,0.7451876997947693
convertvhd.exe,0.0006226727,209920,0,,
coredpussvr.exe,0.013066031,72192,7219,0.013066079467535019,0.013066031038761139
CredDialogHost.exe,3.2546046e-07,287648,0,,
CredentialUIBroker.exe,0.9774403,111152,0,,
credwiz.exe,0.99832827,29696,2969,,
csc.exe,0.99636245,2170976,0,,
cscript.exe,0.00018030561,143360,0,,
csrss.exe,0.47653148,17696,1769,0.4795469641685486,0.4765314757823944
csvde.exe,0.8304641,20060,2006,,
ctfmon.exe,0.9907138,9728,972,,
cttune.exe,0.23300008,312832,0,,
cttunesvr.exe,0.3523569,35840,3584,0.35235610604286194,0.3523569107055664
curl.exe,0.0081259925,424448,0,,
cvtres.exe,0.97529906,43176,4317,,
cygrunsrv.exe,0.0013238247,184851,0,,
dasHost.exe,0.0027401221,94208,0,,
DataExchangeHost.exe,0.00069825305,228760,0,,
DataStoreCacheDumpTool.exe,0.11530338,141312,0,,
DataSvcUtil.exe,0.037116542,71776,7177,0.03711649775505066,0.03711654245853424
DataUsageLiveTileTask.exe,5.8148966e-05,132608,0,,
dccw.exe,0.26817316,643072,0,,
dcdiag.exe,0.98831385,173322,0,,
dcomcnfg.exe,0.99773747,10240,1024,,
ddodiag.exe,0.9570297,32768,3276,,
Defrag.exe,0.00034421007,185856,0,,
desktopimgdownldr.exe,0.910492,74752,5248,,
DeviceCensus.exe,0.017973725,35232,3523,0.017973842099308968,0.017973724752664566
DeviceCredentialDeployment.exe,0.072674744,78336,1664,0.07267462462186813,0.07267474383115768
DeviceEject.exe,0.515533,29696,2969,0.5155333280563354,0.5155329704284668
DeviceEnroller.exe,0.0010801974,359936,0,,
